State,District,Season,Crop,Soil_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Fertilizer_kg_per_hectare,Soil_pH,Irrigation_Type,Previous_Crop,Pest_Risk,Yield_tonnes_per_hectare
Punjab,District_27,Rabi,Wheat,Red,586.8,27.7,81.0,239.2,7.7,Canal,Cotton,Low,2.98
Tamil Nadu,District_22,Zaid,Pulses,Alluvial,986.8,22.9,81.5,167.0,5.4,Rainfed,Sugarcane,Low,1.28
Odisha,District_11,Zaid,Maize,Alluvial,2198.4,19.0,71.6,148.5,6.8,Canal,Sugarcane,High,2.18
Maharashtra,District_47,Kharif,Cotton,Loamy,1389.8,31.6,61.1,170.7,5.8,Canal,Rice,Low,2.18
Rajasthan,District_2,Kharif,Rice,Red,62.8,24.9,69.7,122.6,6.0,Sprinkler,Cotton,High,2.81
Assam,District_50,Rabi,Wheat,Red,1003.2,26.5,76.2,71.6,6.0,Drip,Wheat,Low,3.25
Karnataka,District_1,Zaid,Pulses,Loamy,966.9,26.1,94.3,182.7,6.8,Sprinkler,Cotton,High,1.19
Rajasthan,District_34,Zaid,Pulses,Loamy,134.7,35.1,70.5,,6.7,Canal,Pulses,Low,0.99
Uttar Pradesh,District_32,Zaid,Maize,Red,,16.9,83.2,181.7,5.7,Rainfed,Sugarcane,Low,2.5
Maharashtra,District_37,Kharif,Cotton,red,670.8,29.4,81.2,122.3,6.7,Sprinkler,Rice,Low,2.03
Rajasthan,District_23,Rabi,Pulses,Black,290.7,22.3,79.6,135.4,6.2,Sprinkler,Pulses,Low,1.1
Punjab,District_32,Zaid,Pulses,black,,24.2,80.2,319.4,6.1,Tubewell,Wheat,Medium,1.24
Tamil Nadu,District_49,Rabi,Pulses,Loamy,2153.2,18.5,64.9,141.3,6.1,Tubewell,Cotton,Low,1.4
West Bengal,District_23,Kharif,Rice,red,1197.2,18.0,61.1,179.4,7.4,Drip,Rice,High,3.51
Haryana,District_33,Zaid,Maize,Red,1201.5,22.3,62.7,194.0,7.4,Canal,Cotton,Medium,2.71
Punjab,District_5,Zaid,Pulses,Sandy,310.1,27.0,45.1,318.4,7.6,Drip,Rice,Medium,1.04
Odisha,District_3,Rabi,Pulses,Sandy,643.3,35.7,94.2,118.3,6.7,Rainfed,Rice,Low,1.16
Rajasthan,District_5,Zaid,Pulses,Black,320.7,37.6,49.0,122.8,5.7,Tubewell,Pulses,Low,1.0
Haryana,District_49,Zaid,Maize,Sandy,2653.2,21.8,91.4,,6.4,Rainfed,Wheat,Low,2.26
Rajasthan,District_24,Rabi,Pulses,Black,457.1,34.3,53.3,158.1,5.9,Rainfed,Sugarcane,Medium,1.29
Haryana,District_38,Zaid,Maize,Loamy,526.9,30.3,89.4,267.5,6.3,Tubewell,Cotton,Low,3.21
Rajasthan,District_29,Kharif,Cotton,Loamy,282.2,22.8,91.4,155.1,6.7,Canal,Wheat,Low,1.78
Tamil Nadu,District_22,Rabi,Wheat,Sandy,968.0,33.9,90.5,126.7,5.4,Rainfed,Wheat,Low,2.79
Karnataka,District_18,Rabi,Wheat,Sandy,943.1,27.9,51.1,138.2,7.3,Rainfed,Maize,Low,2.75
Maharashtra,District_13,Kharif,Rice,Sandy,2096.0,27.7,91.6,201.5,5.7,Canal,Wheat,Low,3.44
Assam,District_6,Zaid,Maize,Sandy,696.8,15.7,76.8,63.2,7.1,Rainfed,Sugarcane,Low,2.79
Tamil Nadu,District_9,Kharif,Maize,Loamy,600.7,16.5,77.7,239.5,7.2,Drip,Rice,Low,2.84
Assam,District_22,Zaid,Pulses,Loamy,656.9,30.2,47.5,139.2,6.5,Sprinkler,Wheat,High,1.12
Karnataka,District_39,Zaid,Maize,Sandy,2112.0,26.1,54.1,155.0,7.4,Rainfed,Pulses,High,2.06
Karnataka,District_4,Kharif,Maize,Red,917.7,20.4,90.8,238.6,5.4,Rainfed,Pulses,High,1.9
Maharashtra,District_14,Rabi,Pulses,Loamy,1217.1,16.1,57.1,133.4,5.8,Tubewell,Wheat,Low,1.0
Maharashtra,District_33,Kharif,Cotton,Red,1070.4,27.4,76.3,120.8,6.5,Tubewell,Sugarcane,High,1.68
Maharashtra,District_19,Rabi,Wheat,Alluvial,1051.0,22.9,84.9,231.8,5.7,Sprinkler,Sugarcane,High,2.49
Odisha,District_38,Kharif,Rice,Loamy,2431.5,19.4,93.4,161.6,7.5,Drip,Sugarcane,Low,3.64
Manipur,District_16,Zaid,Pulses,Loamy,718.1,20.4,63.7,77.1,5.5,Drip,Sugarcane,Low,1.1
Karnataka,District_45,Rabi,Wheat,Loamy,718.6,21.5,63.1,,6.2,Rainfed,Maize,Medium,2.69
Punjab,District_2,Kharif,Rice,Loamy,531.3,21.7,76.6,183.7,7.5,Tubewell,Cotton,Medium,2.99
Tamil Nadu,District_35,Kharif,Rice,Black,1340.3,24.9,88.6,156.3,,Rainfed,Wheat,Low,3.81
Karnataka,District_33,Kharif,Cotton,Sandy,1275.7,28.7,45.8,211.0,5.2,Rainfed,Pulses,Medium,2.09
Karnataka,District_47,Kharif,Cotton,Loamy,1057.7,23.4,72.0,189.5,5.8,Canal,Maize,Low,1.97
Assam,District_28,Kharif,Cotton,Alluvial,2554.7,24.6,67.7,153.2,6.7,Drip,Pulses,Medium,2.12
Uttar Pradesh,District_18,Kharif,Rice,Sandy,1146.0,15.1,69.0,270.6,5.7,Sprinkler,Wheat,Low,3.65
Assam,District_15,Rabi,Pulses,Red,1031.7,34.7,46.3,152.0,7.0,Canal,Cotton,Medium,1.2
Karnataka,District_13,Zaid,Pulses,Sandy,1229.5,22.7,62.5,,7.2,Canal,Pulses,High,1.22
Maharashtra,District_8,Rabi,Pulses,Alluvial,502.4,35.9,62.4,208.8,5.9,Drip,Sugarcane,Medium,1.13
Odisha,District_13,Kharif,Rice,Black,1960.75,35.3,86.1,302.58,7.7,Canal,Wheat,High,2.7
West Bengal,District_2,Kharif,Rice,Alluvial,438.1,21.9,52.3,,6.8,Rainfed,Sugarcane,Low,3.57
Punjab,District_47,Kharif,Rice,Loamy,1734.2,30.6,55.8,218.9,7.1,Tubewell,Maize,Medium,3.04
Haryana,District_14,Rabi,Pulses,Sandy,323.7,31.0,90.6,251.3,5.8,Rainfed,Wheat,Low,1.37
Gujarat,District_33,Kharif,Cotton,Loamy,1637.8,33.9,68.2,239.2,5.8,Tubewell,Cotton,Low,2.56
Haryana,District_9,Rabi,Pulses,Loamy,1308.8,32.8,79.4,198.6,6.4,Canal,Wheat,Medium,1.22
Haryana,District_36,Rabi,Pulses,sandy,1465.7,17.0,62.3,302.2,6.5,Sprinkler,Maize,Low,1.57
Assam,District_25,Rabi,Wheat,Alluvial,694.0,24.7,55.9,144.6,,Canal,Sugarcane,Low,3.06
Rajasthan,District_25,Rabi,Wheat,Black,221.2,16.0,80.4,128.4,6.4,Drip,Wheat,Low,2.73
Punjab,District_22,Kharif,Rice,Alluvial,1015.6,23.5,75.6,208.9,5.6,Tubewell,Cotton,Low,3.67
Maharashtra,District_4,Kharif,Rice,Black,907.6,21.8,92.5,234.2,6.0,Canal,Wheat,Low,4.31
Rajasthan,District_29,Kharif,Cotton,Black,481.0,21.2,64.9,177.3,7.7,Tubewell,Cotton,High,1.44
Odisha,District_6,Zaid,Maize,Alluvial,1254.5,24.7,63.6,185.5,5.9,Drip,Maize,Low,2.83
Manipur,District_36,Kharif,Rice,Alluvial,879.0,17.5,49.7,127.0,6.3,Tubewell,Maize,Low,4.22
West Bengal,District_1,Kharif,Rice,Sandy,,15.3,46.2,185.1,7.6,Sprinkler,Maize,High,3.35
Maharashtra,District_24,Zaid,Pulses,Black,247.3,34.8,77.6,152.6,7.2,Canal,Sugarcane,High,0.86
Assam,District_45,Rabi,Pulses,Alluvial,2566.5,20.5,80.2,171.0,5.9,Sprinkler,Rice,High,1.01
Rajasthan,District_47,Rabi,Pulses,Black,271.8,17.1,77.4,153.3,,Drip,Rice,Medium,1.04
Meghalaya,District_26,Zaid,Maize,Alluvial,981.1,21.6,85.5,,6.8,Rainfed,Cotton,Low,2.47
Manipur,District_42,Rabi,Pulses,Sandy,1607.0,19.9,64.6,128.1,5.5,Tubewell,Cotton,High,1.13
Punjab,District_50,Rabi,Wheat,Black,1762.0,22.0,90.8,252.5,7.3,Canal,Wheat,Low,3.33
Meghalaya,District_18,Zaid,Maize,Alluvial,517.2,25.2,91.6,91.8,6.4,Canal,Maize,High,1.89
Punjab,District_17,Rabi,Wheat,Loamy,1004.3,18.4,59.2,289.1,6.6,Rainfed,Sugarcane,Low,3.37
Manipur,District_43,Zaid,Maize,Sandy,796.3,23.7,51.8,105.1,,Rainfed,Maize,Low,2.73
Manipur,District_29,Zaid,Pulses,Black,557.7,27.4,80.8,88.8,7.3,Canal,Sugarcane,Low,1.28
Haryana,District_44,Rabi,Pulses,Black,886.5,34.8,73.4,194.6,6.5,Tubewell,Cotton,High,1.03
Punjab,District_1,Rabi,Wheat,Loamy,867.7,18.9,71.7,234.0,5.8,Canal,Wheat,Low,3.25
Tamil Nadu,District_11,Rabi,Pulses,Loamy,922.9,27.1,88.8,177.7,5.3,Canal,Rice,High,1.02
Haryana,District_18,Zaid,Pulses,Sandy,1316.0,25.2,60.9,209.8,7.7,Sprinkler,Pulses,Low,1.19
West Bengal,District_39,Rabi,Pulses,Sandy,1766.9,34.7,87.6,214.8,7.0,Rainfed,Rice,Medium,1.32
Rajasthan,District_19,Kharif,Cotton,Black,443.6,31.5,47.0,131.6,7.3,Drip,Rice,Low,2.25
Maharashtra,District_11,Kharif,Rice,Alluvial,411.5,24.3,51.1,193.6,6.4,Canal,Cotton,Medium,3.86
Karnataka,District_37,Kharif,Cotton,Loamy,6698.25,15.7,80.1,376.38,7.7,Rainfed,Rice,Medium,1.82
West Bengal,District_35,Kharif,Rice,Red,,25.5,56.1,145.2,5.5,Tubewell,Pulses,Medium,3.04
Punjab,District_34,Kharif,Maize,Alluvial,1459.5,37.3,46.6,201.2,6.0,Canal,Cotton,High,2.43
Manipur,District_40,Zaid,Pulses,Loamy,2323.2,35.3,64.6,112.5,6.9,Tubewell,Pulses,Low,1.19
Rajasthan,District_6,Rabi,Wheat,Alluvial,124.7,25.6,79.2,113.6,7.8,Tubewell,Pulses,Low,2.31
Rajasthan,District_33,Zaid,Pulses,Loamy,377.0,36.7,76.1,81.7,5.8,Rainfed,Cotton,Medium,1.04
Uttar Pradesh,District_1,Zaid,Maize,Sandy,1246.1,23.4,58.7,165.2,5.5,Tubewell,Sugarcane,Medium,2.28
Manipur,District_30,Zaid,Maize,Black,830.8,32.6,85.5,73.1,7.8,Sprinkler,Cotton,Medium,2.19
