State,District,Season,Crop,Soil_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Fertilizer_kg_per_hectare,Soil_pH,Irrigation_Type,Previous_Crop,Pest_Risk,Soil_N,Soil_P,Soil_K,Irrigation_Frequency,Yield_tonnes_per_hectare
Rajasthan,District_15,Kharif,Rice,Red,1410.7,28.8,48.6,97.4,5.4,Tubewell,Pulses,Low,179.9,68.1,117.9,6,3.43
Haryana,District_38,Zaid,Pulses,Sandy,1146.5,15.0,94.6,208.2,6.8,Drip,Rice,Low,51.1,21.8,97.7,3,1.43
Punjab,District_39,Kharif,Rice,Black,1183.9,34.8,77.4,168.1,5.2,Canal,Sugarcane,High,191.3,65.1,82.4,5,3.23
West Bengal,District_15,Zaid,Pulses,Sandy,723.4,29.0,85.8,101.6,6.2,Drip,Sugarcane,Medium,77.3,80.4,86.8,6,1.04
Assam,District_18,Kharif,Rice,Loamy,499.8,32.8,91.7,274.8,6.8,Tubewell,Wheat,Medium,188.3,27.1,61.6,9,3.6
Manipur,District_7,Kharif,Maize,Alluvial,1258.4,37.2,73.4,126.2,6.0,Rainfed,Maize,Medium,74.8,21.3,86.6,1,2.86
Karnataka,District_8,Kharif,Maize,Loamy,1469.4,32.7,44.1,146.0,5.5,Drip,Rice,High,179.5,69.9,76.4,7,2.25
Tamil Nadu,District_37,Zaid,Maize,Sandy,579.0,29.7,88.8,173.3,5.5,Tubewell,Pulses,Medium,157.0,80.9,101.7,7,2.06
Haryana,District_6,Zaid,Rice,Black,1015.8,35.6,66.1,195.2,7.0,Tubewell,Rice,Medium,70.9,68.4,99.4,4,3.6
Maharashtra,District_24,Rabi,Maize,Red,1179.8,35.3,74.3,131.0,5.5,Rainfed,Wheat,Low,118.5,37.5,85.8,7,2.6
Rajasthan,District_41,Zaid,Maize,Alluvial,931.7,20.2,63.5,256.3,7.4,Tubewell,Sugarcane,High,51.0,60.9,85.9,5,2.46
Meghalaya,District_18,Kharif,Wheat,Loamy,582.8,18.9,52.0,193.9,6.2,Sprinkler,Wheat,Medium,59.7,40.3,67.2,7,3.26
Rajasthan,District_21,Kharif,Maize,Black,324.9,15.8,73.5,180.6,5.3,Drip,Maize,Low,91.8,92.7,66.4,2,2.47
Haryana,District_42,Zaid,Wheat,Red,198.4,28.6,44.4,148.7,5.8,Drip,Cotton,Low,170.5,57.6,148.2,6,3.36
Rajasthan,District_16,Kharif,Cotton,Red,667.7,22.4,50.3,69.8,6.7,Sprinkler,Sugarcane,Low,151.6,21.3,96.3,3,2.01
Assam,District_26,Zaid,Pulses,Loamy,735.9,24.1,68.5,261.1,7.0,Rainfed,Wheat,High,160.3,36.7,99.6,3,1.1
Uttar Pradesh,District_8,Rabi,Sugarcane,Alluvial,778.3,26.9,54.3,299.1,7.7,Tubewell,Pulses,Low,133.7,90.6,60.8,9,56.92
Uttar Pradesh,District_25,Rabi,Pulses,Sandy,2028.0,35.4,82.9,214.1,5.4,Drip,Sugarcane,Low,74.2,91.9,106.7,3,1.22
Gujarat,District_44,Rabi,Sugarcane,Sandy,1458.8,21.5,56.8,176.5,6.4,Canal,Pulses,Low,199.2,34.1,42.0,5,71.64
Tamil Nadu,District_19,Zaid,Maize,Red,855.1,31.6,56.9,190.2,6.5,Drip,Wheat,Low,145.4,40.0,104.9,6,2.51
Gujarat,District_49,Zaid,Rice,Red,1685.9,33.3,67.6,198.5,6.5,Tubewell,Sugarcane,High,79.3,77.8,70.9,3,3.53
